Fluid,A,B,C,Pmin,Pmax,Tmin,Tmax,R2
1-Butene,-2523.7303612142546,-21.364875533775418,10.656366488607334,7.563664543837497e-07,4005100.0,88.2969193590804,419.29,0.9999114864901185
Acetone,-3317.7112317605493,-22.078287728160575,15.058563310008644,2.326486886400373,4700000.0,178.50000031387285,508.1,0.9999263136787325
Air,-742.8103926096121,-20.801042307964128,1.7610753101232195,5264.181068770567,3747810.7493037246,63.129456766568865,132.50885283237284,0.9999072226373654
Ammonia,-2584.13754316322,-22.76195355595732,9.588495198463528,6091.2231081315085,11333000.0,195.56776280193,405.4,0.9999471166713025
Argon,-922.1579380432539,-21.18283812085502,-8.483078581815022,68892.4770797671,4863000.0,83.80600000008859,150.687,0.9999651068786582
Benzene,-3382.1251951590493,-21.609327211428372,17.905583486084392,4783.772578698541,4894000.0,278.67400000250086,562.02,0.9999268615774256
CarbonDioxide,-2064.567875020696,-22.485724658813606,-5.064792743464293,517964.34344772575,7377300.0,216.59200000500846,304.1282,0.9999835595940959
CarbonMonoxide,-786.4133575674214,-20.86288112281795,-2.6225181026612594,15536.876656446811,3494000.0,68.1600000000263,132.86,0.9999564044717318
CarbonylSulfide,-2223.6523377594376,-21.537348912545305,0.7885734759515063,64.43457800823276,6370000.0,134.30000005708533,378.77,0.9999296393859196
cis-2-Butene,-2688.9971597598224,-21.53954320259838,8.390558532367537,1691.1398947596358,4225500.0,202.63203516691908,435.75,0.9999357398456279
CycloHexane,-3348.6797890411017,-21.44112490599108,16.107530941844544,5240.204376932312,4082400.0,279.4700000001096,553.6,0.9999483420830111
Cyclopentane,-3224.3454927552575,-21.688830801573236,5.32888734427224,8.854271413109606,4571200.0,179.69999999548426,511.72,0.9998893908692588
CycloPropane,-2730.585340632757,-22.029516904714484,-21.653337686935394,342702.20373564865,5579700.0,272.999999999994,398.3,0.9999834176828752
D4,-3843.9748492379194,-21.403778466597007,60.33151550419626,73.06609963813099,1347215.3560904593,290.24999998382293,586.5,0.9999115032300978
D5,-3772.0729547572714,-20.930397471612178,83.52569116312841,0.0020593212230361497,1077687.78025659,226.00192897033867,618.3,0.9999340776120506
D6,-4695.071488828168,-21.80213529710683,61.84255957957952,0.1597529988242164,961000.0,270.1999979897585,645.78,0.9998888422598118
Deuterium,-261.0113466684336,-20.118472549015724,-6.6887147706742995,17189.101973451077,1679600.0,18.72400000002559,38.34,0.9999212345783878
Dichloroethane,-3673.3563013661987,-22.105714264656356,9.427090837954532,239.86831029711735,5227585.103082351,237.5200000016758,561.6,0.9998944758595626
DiethylEther,-2999.405046366309,-21.70841001545659,12.817571633715156,21283.811029807,3649016.896528536,269.99999999998875,466.7,0.9999514801384388
DimethylCarbonate,-3885.4637595317195,-22.46897159920053,8.149374694448564,2226.523727216828,4908800.0,277.060000006271,557.0,0.9998783151770227
DimethylEther,-2436.6475786527403,-21.703297556894924,9.002050847205915,2.210728491107207,5336800.0,131.66000041746116,400.378,0.9999221096576819
Ethane,-1809.6262569739145,-21.309092849376707,-0.2974546381822603,1.142107639085233,4872200.0,90.36799841752789,305.322,0.9999343223745448
Ethanol,-3416.879595002309,-23.08768677160229,55.48153466834456,0.0007353928225172699,6268000.0,159.10206162354567,514.71,0.9999656276007546
EthylBenzene,-3922.2394402957943,-21.704164060623945,24.389938909917777,0.00400362117221462,3622400.0,178.20086834516465,617.12,0.9998997992208555
Ethylene,-1646.7597013575637,-21.259669461709642,0.22859992707315757,122.02676384261189,5041800.0,103.98899999998682,282.35,0.9999392676997954
EthyleneOxide,-2970.4809071385694,-22.20089729670807,5.321672360250874,8.251614065467786,7304686.159635853,160.65000017981248,468.92,0.9999334656051458
Fluorine,-839.1178827583058,-21.20189629428032,-1.724975636168218,2308.502684895467,5172400.0,61.83856513628444,144.41400000000002,0.9999445688604524
HeavyWater,-4436.987271501604,-23.94882251045217,16.16312079385686,661.5871366710799,21661831.00270645,276.9690000659564,643.847,0.9999457652548841
Helium,-36.05029393829547,-17.388227718059316,-1.9300610265734452,5033.5488966581215,227600.0,2.1763319847664446,5.1953000000000005,0.9994182276989393
HFE143m,-2564.297044455557,-21.932206870671518,2.655834336566647,65359.39300680776,3635000.0,239.99999999994867,377.921,0.9999662502677927
Hydrogen,-214.2542887188321,-19.45544756810835,-6.606031923263517,7357.828141607672,1296400.0,13.956999999980477,33.145,0.9999384830864729
HydrogenChloride,-2122.146836576721,-22.263889486208306,-9.978090143095693,13828.40467892872,8291521.207967199,159.0700000002117,324.55,0.9999356706929425
HydrogenSulfide,-2243.771691313154,-21.974656407910537,-2.5847563168427,23258.855838991203,9000000.0,187.6999999988878,373.1,0.9999505708832728
IsoButane,-2437.7577796140367,-21.227408497678194,10.384119403624128,0.02289083901189384,3629000.0,113.73003001239597,407.817,0.9999408311923171
IsoButene,-2534.8570776997294,-21.399669189767472,9.63874070411788,0.6761899977345366,4009800.0,132.4000001851312,418.09,0.9999279998778963
Isohexane,-3124.9404259363914,-21.43521367352902,18.348256394858367,7.74448666750253e-06,3040000.0,119.6267501240741,497.7000000000001,0.9999329051195535
Isopentane,-2837.855359532539,-21.360136477204353,12.687971743849717,8.949025483876957e-05,3378000.0,112.6487405960532,460.35,0.9999361160002939
Krypton,-1299.453236742811,-21.35862901203673,-12.946115719486356,73502.83747636901,5525000.0,115.77000000021776,209.48,0.9999616278694183
m-Xylene,-4002.2287022522146,-21.811662553738362,23.428784285511533,3.123267555690047,3534600.0,225.30000018027064,616.89,0.9999444283629503
MD2M,-3930.6892755402546,-21.299817853083347,66.05594190492438,0.00031293301873447523,1144024.2963570068,205.20321168127785,599.4,0.9998838133937237
MD3M,-4217.044424457575,-21.404165097326914,76.59791472567706,6.144036026149336e-07,953950.310236878,195.8283724690994,628.0,0.9999397952744158
MD4M,-4335.441847024932,-21.328645443963214,91.08897973276908,6.91963303276842e-07,828558.7220660766,214.6895310239858,653.2,0.9999243356199664
MDM,-3549.5733235622115,-21.151904221033345,57.36491593738624,0.0010820636776824135,1410044.755816551,187.2023568491952,564.09,0.9997566624571387
Methane,-1150.9237396304252,-21.11495768876319,-8.453842277283677,11696.064114962215,4599200.0,90.69409999988561,190.564,0.999951958944146
Methanol,-3839.669410678727,-23.745583474410243,23.273932863444767,0.18676381241403228,8215850.0,175.61000179409834,512.5,0.9999788573572862
MethylLinoleate,-6383.910489223899,-22.72604842332283,60.02315882430084,1.3112507347084836e-06,1341000.0,259.78580582230734,799.0,0.9997816758078839
MethylLinolenate,-8755.377252949635,-25.486654632524875,3.397091819305709,7.39936963447781e-07,1369000.0,262.67078556319126,772.0,0.9994701543158059
MethylOleate,-7522.481112623667,-23.84307284324507,18.155759440045088,4.571708015418045e-07,1246000.0,254.33567334869838,782.0,0.9993613971772874
MethylPalmitate,-7766.648501229688,-24.331724994726198,-2.68154151237977,0.01640135619056235,1350000.0,302.7100345300125,755.0,0.9995186981599897
MethylStearate,-8967.711736026857,-25.21677741155013,-23.782745418481692,0.006010956044723015,1239000.0,311.84001168796993,775.0,0.9993422319136599
MM,-3413.9372537513614,-21.443650749664034,29.975932535039345,2.9537701302689663,1939000.0,204.92999942753772,518.75,0.9999048075560224
n-Butane,-2624.901592615868,-21.425899477528546,7.713091796032028,0.6656582208078881,3796000.0,134.89499474560736,425.125,0.999933174788174
n-Decane,-4122.768929086522,-21.726898931208954,43.62917336946304,1.4041839024219944,2103000.0,243.50000163938282,617.7,0.9999314781517944
n-Dodecane,-4485.498992852789,-21.837967534873364,55.03501827317607,0.62621086350047,1817000.0,263.5999991492175,658.1,0.9999357031471838
n-Heptane,-3453.238294420175,-21.543055845712598,27.18168168839896,0.17549028983207446,2736000.0,182.54999613447316,540.13,0.9999413617180117
n-Hexane,-3339.453096934136,-21.65592325477216,12.192330686165352,14006.91516545775,3044115.328359688,290.02952700190565,507.82,0.9999546644164906
n-Nonane,-3939.9713545612667,-21.690441928661535,36.79758528205857,0.4444853476665013,2281000.0,219.69999879759456,594.5500000000001,0.999918781546126
n-Octane,-3688.6267386100217,-21.598762600886623,33.01363168363795,2.0745859950296133,2483591.199677694,216.37000003014086,568.74,0.9999431808495453
n-Pentane,-2919.7103074984093,-21.437960298704127,14.907721844404556,0.07802807327356376,3367518.9947363394,143.47000801173382,469.7000000000001,0.999942519026095
n-Propane,-2218.6527973764387,-21.329979244686832,4.889065756178974,0.00017184840809308612,4251200.0,85.5221819369291,369.89,0.9999391500841952
n-Undecane,-4559.018271541669,-22.06010814043615,36.892352974538916,0.4460558308906604,1990400.0,247.54099838712906,638.8000000000001,0.999872184192137
Neon,-287.0033128129844,-20.683497387912706,-4.274124770668124,43417.23245806644,2661630.8085948555,24.560000000003036,44.4,0.9999585154292373
Neopentane,-2733.2867646547506,-21.316931545991572,3.2083299337538143,35400.94732693052,3196000.0,256.59999999990305,433.74,0.9999637531662322
Nitrogen,-753.261145532293,-20.832760883113377,-3.5964676591307434,12519.78348430944,3395800.0,63.15099999864521,126.192,0.9999565417648383
